"idDBLP","idACM"
"conf/sigmod/SlivinskasJS01",375678
"conf/sigmod/ChaudhuriDN01",375694
"conf/sigmod/RinfretOO01",375669
"conf/sigmod/BreunigKKS01",375672
"conf/sigmod/JagadishJOT01",375687
"conf/sigmod/NazeriBO01",375743
"conf/sigmod/ChenZCKR01",375789
"conf/sigmod/BohmBKK01",375714
"conf/sigmod/DattaDRTV01",375780
"conf/sigmod/HernandezMHYHT01",375767
"conf/sigmod/LeeWMS01",375709
"conf/sigmod/HanPLJ01",375786
"conf/sigmod/KiesslingHFE01",375754
"conf/sigmod/YanMHF01",375729
"conf/sigmod/FernandezMS01",375674
"conf/sigmod/CandanLLHA01",375736
"conf/sigmod/BorkarDS01",375682
"conf/sigmod/SchusterW01",375728
"conf/sigmod/HanPDW01",375664
"conf/sigmod/Maguire01",375742
"conf/sigmod/GodfreyGXZ01",375749
"conf/sigmod/FabretJLPRS01",375677
"conf/sigmod/OlstonWL01",375710
"conf/sigmod/LahiriG01",375751
"conf/sigmod/DeolaseeKPRS01",375752
"conf/sigmod/Meseck01",375745
"conf/sigmod/ShahC01",375773
"conf/sigmod/StonebrakerH01",375739
"conf/sigmod/AfratiLU01",375705
"conf/sigmod/ButtlerLPP01",375762
"conf/sigmod/LangS01",375716
"conf/sigmod/Smith01",375814
"conf/sigmod/TatarinovIHW01",375720
"conf/sigmod/ShouCTRH01",375755
"conf/sigmod/GionisGK01",375689
"conf/sigmod/MistryRSR01",375703
"conf/sigmod/Larson01",375792
"conf/sigmod/GoldsteinL01",375706
"conf/sigmod/Bussler01",375810
"conf/sigmod/BabuGR01",375693
"conf/sigmod/LamCKNH01",375779
"conf/sigmod/GreenwaldK01",375670
"conf/sigmod/DraperHW01",375744
"conf/sigmod/AgichteinGV01",375774
"conf/sigmod/KimCK01",375679
"conf/sigmod/ClaypoolRZSK01",375765
"conf/sigmod/BertinoCF01",375764
"conf/sigmod/Mohan01",375798
"conf/sigmod/KalnisP01",375712
"conf/sigmod/YuMWL01",375684
"conf/sigmod/ChenGK01",375692
"conf/sigmod/Galindo-LegariaJ01",375748
"conf/sigmod/DeshpandeGR01",375685
"conf/sigmod/LazaridisM01",375718
"conf/sigmod/BrunoCG01",375686
"conf/sigmod/Sahuguet01",375757
"conf/sigmod/AgrawalCN01",375769
"conf/sigmod/ChenGM01",375688
"conf/sigmod/ZhangNDLL01",375722
"conf/sigmod/CarinoKKB01",375733
"conf/sigmod/AggarwalY01",375668
"conf/sigmod/WynblattN01",375737
"conf/sigmod/BohannonMR01",375681
"conf/sigmod/GunopulosD01",375808
"conf/sigmod/KeoghCMP01",375680
"conf/sigmod/DoanDH01",375731
"conf/sigmod/NgWY01",375666
"conf/sigmod/IpeirotisGS01",375671
"conf/sigmod/JoshiA01",375673
"conf/sigmod/HristidisKP01",375690
"conf/sigmod/GetoorTK01",375727
"conf/sigmod/WuAA01",375724
"conf/sigmod/GehrkeKS01",375665
"conf/sigmod/AdiBEY01",375759
"conf/sigmod/Amer-YahiaCLS01",375730
"conf/sigmod/WhitneyS01",375783
"conf/sigmod/KriegelMPS01",375777
"conf/sigmod/BabyCY01",375761
"conf/sigmod/CasatiS01",375812
"conf/sigmod/Rosenthal01",375796
"conf/sigmod/NguyenACP01",375723
"conf/sigmod/CatarciS01",375771
"conf/sigmod/ChangC01",375776
"conf/sigmod/Lomet00",335378
"conf/sigmod/LabioWGG00",335379
"conf/sigmod/AggarwalY00",335383
"conf/sigmod/PalmerF00",335384
"conf/sigmod/ZaharioudakisCLPU00",335390
"conf/sigmod/CorralMTV00",335414
"conf/sigmod/RoySSB00",335419
"conf/sigmod/HellersteinA00",335420
"conf/sigmod/PopaDST00",335421
"conf/sigmod/AgrawalW00",335423
"conf/sigmod/ForlizziGNS00",335426
"conf/sigmod/MoonSL00",335428
"conf/sigmod/ChoSG00",335429
"conf/sigmod/OhHP00",335436
"conf/sigmod/RamaswamyRS00",335437
"conf/sigmod/SzalayGKT00",335439
"conf/sigmod/GunopulosKTD00",335448
"conf/sigmod/AcharyaGP00",335450
"conf/sigmod/WaasG00",335451
"conf/sigmod/WattezCBFF00",335452
"conf/sigmod/Ross00",335457
"conf/sigmod/HsiaoN00",335461
"conf/sigmod/Weininger00",335465
"conf/sigmod/Jhingran00",335469
"conf/sigmod/WangSSZZW00",335495
"conf/sigmod/ChenDLT00",336560
"conf/sigmod/Galhardas00",336568
"conf/sigmod/JarkeQCLFLVV00",336570
"conf/sigmod/GillmannWSWW00",336577
"conf/sigmod/LiuPBHPT00",336579
"conf/sigmod/OriaOILY00",336589
"conf/sigmod/HanPY00",335372
"conf/sigmod/RiedelFGN00",335375
"conf/sigmod/ShenoyHSBBS00",335376
"conf/sigmod/LakhamrajuRSS00",335381
"conf/sigmod/BreunigKNS00",335388
"conf/sigmod/ChoG00",335391
"conf/sigmod/SalemBCL00",335393
"conf/sigmod/ChristophidesCS00",335395
"conf/sigmod/LiefkeS00",335405
"conf/sigmod/GarofalakisGRSS00",335409
"conf/sigmod/FaloutsosSTT00",335412
"conf/sigmod/KornM00",335415
"conf/sigmod/RodriguezR00",335413
"conf/sigmod/LeeKOTM00",335416
"conf/sigmod/LitwinS00",335418
"conf/sigmod/GoldmanW00",335422
"conf/sigmod/BarclaySG00",335424
"conf/sigmod/SaltenisJLL00",335427
"conf/sigmod/LabrinidisR00",335430
"conf/sigmod/ChenJDTW00",335432
"conf/sigmod/ChangBCLLS00",335433
"conf/sigmod/JagadishKS00",335434
"conf/sigmod/AgrawalS00",335438
"conf/sigmod/RaoR00",335449
"conf/sigmod/LehnerSPC00",335454
"conf/sigmod/PonnekantiK00",335462
"conf/sigmod/AnnamalaiCD00",335463
"conf/sigmod/ChenCPPSTM00",335466
"conf/sigmod/OrdonezC00",335468
"conf/sigmod/Ramakrishnan00",335471
"conf/sigmod/Nori00",335474
"conf/sigmod/Gal00",335479
"conf/sigmod/ShuklaD00",335482
"conf/sigmod/IvesLPST00",335492
"conf/sigmod/FegarasSRM00",335494
"conf/sigmod/RundensteinerCCSO00",335496
"conf/sigmod/MerialdoAMMP00",335497
"conf/sigmod/BerckenDS00",336562
"conf/sigmod/Sarawagi00",336564
"conf/sigmod/PeiMHZ00",336572
"conf/sigmod/HsuLG00",336573
"conf/sigmod/Rodriguez-Martinez00",336575
"conf/sigmod/YangYW00",336578
"conf/sigmod/LiBCS00",336583
"conf/sigmod/BressanGOT00",336587
"conf/sigmod/ReveszCKLLW00",336590
"conf/sigmod/ChakrabartiM99",304185
"conf/sigmod/AggarwalPWYP99",304188
"conf/sigmod/ShanmugasundaramNSR99",304190
"conf/sigmod/Jamil99",304192
"conf/sigmod/AdaliSS99",304193
"conf/sigmod/GehrkeGRL99",304197
"conf/sigmod/VitterW99",304199
"conf/sigmod/ChanI99",304201
"conf/sigmod/BlohsfeldKS99",304203
"conf/sigmod/IvesFFLW99",304209
"conf/sigmod/MayrS99",304213
"conf/sigmod/BeyerR99",304214
"conf/sigmod/KotidisR99",304215
"conf/sigmod/AggarwalWY99",304218
"conf/sigmod/Keim99",304219
"conf/sigmod/YerneniLGU99",304221
"conf/sigmod/CallanCD99",304224
"conf/sigmod/DavulcuFKR99",304225
"conf/sigmod/Ozsu99",304228
"conf/sigmod/Mohan99",304230
"conf/sigmod/HinneburgK99",304232
"conf/sigmod/KrishnamurthyBN99",304235
"conf/sigmod/BaulierBGGHJKKMMNNRSSSWW99",304239
"conf/sigmod/Kohler99",304241
"conf/sigmod/Greer99",304242
"conf/sigmod/TrisoliniLN99",304569
"conf/sigmod/LiuHBPT99",304570
"conf/sigmod/AltinelABFSZ99",304571
"conf/sigmod/WolfsonSXZC99",304572
"conf/sigmod/BraumandlKK99",304573
"conf/sigmod/RundensteinerKZWLLN99",304574
"conf/sigmod/NgLHM99",304575
"conf/sigmod/CruzJ99",304587
"conf/sigmod/MamoulisP99",304183
"conf/sigmod/AcharyaPR99",304184
"conf/sigmod/JagadishLS99",304186
"conf/sigmod/AnkerstBKS99",304187
"conf/sigmod/LometT99",304189
"conf/sigmod/BreitbartKRSS99",304191
"conf/sigmod/JagadishLMSV99",304194
"conf/sigmod/Hidber99",304195
"conf/sigmod/LakshmananNHP99",304196
"conf/sigmod/AboulnagaC99",304198
"conf/sigmod/LeeKC99",304200
"conf/sigmod/Wu99",304202
"conf/sigmod/MankuRL99",304204
"conf/sigmod/ChaudhuriMN99",304206
"conf/sigmod/AcharyaGPR99a",304207
"conf/sigmod/HaasH99",304208
"conf/sigmod/FlorescuLMS99",304210
"conf/sigmod/MaratheS99",304211
"conf/sigmod/ChangG99",304212
"conf/sigmod/LabioYG99",304216
"conf/sigmod/NatsevRS99",304217
"conf/sigmod/DeutschFS99",304220
"conf/sigmod/PapakonstantinouV99",304222
"conf/sigmod/EmbleyJN99",304223
"conf/sigmod/GarofalakisRRS99",304227
"conf/sigmod/Dullmann99",304229
"conf/sigmod/Chakrabarti99",304231
"conf/sigmod/Suciu99",304233
"conf/sigmod/CareyCNVDRSM99",304234
"conf/sigmod/Brown99",304236
"conf/sigmod/KanthRSB99",304240
"conf/sigmod/Hammond99",304243
"conf/sigmod/Team99",304244
"conf/sigmod/BergstraesserBPS99",304248
"conf/sigmod/DoRD99",304250
"conf/sigmod/JarkeQBLMS99",304568
"conf/sigmod/AdelbergD99",304576
"conf/sigmod/BargaL99",304577
"conf/sigmod/LiVCAHMWBCHIKSS99",304578
"conf/sigmod/RundensteinerCLCZNJLW99",304579
"conf/sigmod/ZhouLP99",304580
"conf/sigmod/AcharyaGPR99",304581
"conf/sigmod/BrodskySCE99",304582
"conf/sigmod/BonnetBCCCHKMMOSS99",304583
"conf/sigmod/RoussopoulosKS99",304584
"conf/sigmod/BohlenBD99",304585
"conf/sigmod/VossenW99",304586
"conf/sigmod/BouguettayaBH99",304589
"conf/sigmod/BaruGLMPVC99",304590
"conf/sigmod/NgLHP98",276307
"conf/sigmod/CherniackZ98",276311
"conf/sigmod/GuhaRS98",276312
"conf/sigmod/Bayardo98",276313
"conf/sigmod/AgrawalGGR98",276314
"conf/sigmod/KabraD98",276315
"conf/sigmod/UrhanFA98",276317
"conf/sigmod/KanthAS98",276320
"conf/sigmod/KotidisR98",276327
"conf/sigmod/DeshpandeRSN98",276328
"conf/sigmod/NestorovAM98",276331
"conf/sigmod/ChakrabartiDI98",276332
"conf/sigmod/SubramanianV98",276333
"conf/sigmod/ChanI98",276336
"conf/sigmod/ChaudhuriN98",276337
"conf/sigmod/AdaliBSS98",276340
"conf/sigmod/FernandezFKLS98",276341
"conf/sigmod/RajagopalanML98",276342
"conf/sigmod/LometW98",276345
"conf/sigmod/Stonebraker98",276348
"conf/sigmod/AdamY98",276350
"conf/sigmod/BerchtoldK98",276353
"conf/sigmod/WhiteCF98",276355
"conf/sigmod/Doherty98",276358
"conf/sigmod/FranklinZ98",276360
"conf/sigmod/LahiriJJC98",276366
"conf/sigmod/Aulakh98",276367
"conf/sigmod/Whelan98",276368
"conf/sigmod/NaumanS98",276369
"conf/sigmod/Brewer98",276372
"conf/sigmod/LiS98",276374
"conf/sigmod/LiuPTBBZBHY98",276376
"conf/sigmod/OlstonWACELSS98",276377
"conf/sigmod/AmbiteABKMMMPT98",276381
"conf/sigmod/AvnurHLORRRW98",276383
"conf/sigmod/KornackerSH98",276384
"conf/sigmod/DarEGP98",276391
"conf/sigmod/ChenWZ98",276392
"conf/sigmod/LiYVGPUV98",276382
"conf/sigmod/TsurUACMNR98",276306
"conf/sigmod/ShintaniK98",276308
"conf/sigmod/RaoR98",276309
"conf/sigmod/Fegaras98",276310
"conf/sigmod/JonssonFS98",276316
"conf/sigmod/BerchtoldBK98",276318
"conf/sigmod/SeidlK98",276319
"conf/sigmod/CluetDSS98",276321
"conf/sigmod/Miller98",276322
"conf/sigmod/Cohen98",276323
"conf/sigmod/GrumbachRS98",276324
"conf/sigmod/PapadopoulosM98",276325
"conf/sigmod/HjaltasonS98",276326
"conf/sigmod/ZhaoDNS98",276329
"conf/sigmod/Adelberg98",276330
"conf/sigmod/GibbonsM98",276334
"conf/sigmod/SarawagiTA98",276335
"conf/sigmod/JaedickeM98",276338
"conf/sigmod/GodfreySE98",276339
"conf/sigmod/ChaudhuriMN98",276343
"conf/sigmod/MatiasVW98",276344
"conf/sigmod/LarsonG98",276346
"conf/sigmod/AndersonBKW98",276347
"conf/sigmod/Mylopoulos98",276349
"conf/sigmod/KemperKM98",276351
"conf/sigmod/ClossmanSHKPB98",276352
"conf/sigmod/BlakeleyP98",276354
"conf/sigmod/ReinwaldP98",276356
"conf/sigmod/Eaton98",276357
"conf/sigmod/Spiro98",276359
"conf/sigmod/Chan98",276362
"conf/sigmod/NgLK98",276364
"conf/sigmod/AndersonAF98",276365
"conf/sigmod/Chong98",276370
"conf/sigmod/Lassettre98",276371
"conf/sigmod/Kennamer98",276373
"conf/sigmod/MeccaAMMS98",276375
"conf/sigmod/ChaudhuriN98a",276378
"conf/sigmod/KiepuszewskiMO98",276379
"conf/sigmod/Cohen98a",276380
"conf/sigmod/LacroixSC98",276385
"conf/sigmod/BaumannDFRW98",276386
"conf/sigmod/ParkKKLPC98",276387
"conf/sigmod/ZaianeHLCC98",276388
"conf/sigmod/Toyama98",276389
"conf/sigmod/CeriFP98",276390
"conf/sigmod/BerchtoldBBKK97",253263
"conf/sigmod/KornackerMH97",253272
"conf/sigmod/RoussopoulosKR97",253276
"conf/sigmod/ZhaoDN97",253288
"conf/sigmod/AcharyaFZ97",253293
"conf/sigmod/GriffinH97",253304
"conf/sigmod/BrinMUT97",253325
"conf/sigmod/BrinMS97",253327
"conf/sigmod/KornJF97",253332
"conf/sigmod/LivnyRBCDLMW97",253335
"conf/sigmod/PatelYKTNBHRLEKGDN97",253342
"conf/sigmod/GebhardtJJ97",253344
"conf/sigmod/BozkayaO97",253345
"conf/sigmod/AgrawalASY97",253355
"conf/sigmod/LlirbatFS97",253357
"conf/sigmod/YangM97",253361
"conf/sigmod/JajodiaSSB97",253364
"conf/sigmod/Kramer97",253372
"conf/sigmod/CruzALRZ97",253376
"conf/sigmod/LivnyRBCDLMW97a",253379
"conf/sigmod/HanKS97",253404
"conf/sigmod/RafieiM97",253264
"conf/sigmod/ChawatheG97",253266
"conf/sigmod/ONeilQ97",253268
"conf/sigmod/ZaharioudakisC97",253269
"conf/sigmod/HoAMS97",253274
"conf/sigmod/MumickQM97",253277
"conf/sigmod/TsueiPK97",253279
"conf/sigmod/DoppelhammerHKK97",253280
"conf/sigmod/AdelbergGW97",253287
"conf/sigmod/HellersteinHW97",253291
"conf/sigmod/GravanoCGP97",253299
"conf/sigmod/CareyK97",253302
"conf/sigmod/Arpaci-DusseauACHP97",253322
"conf/sigmod/HanKK97",253330
"conf/sigmod/MaheshwariL97",253338
"conf/sigmod/KoudasS97",253340
"conf/sigmod/KatayamaS97",253347
"conf/sigmod/ShivakumarG97",253349
"conf/sigmod/QuassW97",253352
"conf/sigmod/ColbyKLMR97",253353
"conf/sigmod/MotakisZ97",253359
"conf/sigmod/GeorgeH97",253362
"conf/sigmod/GuptaHR97",253366
"conf/sigmod/Shasha97",253368
"conf/sigmod/CareyMN97",253370
"conf/sigmod/ChaudhuriD97",253373
"conf/sigmod/Chaudhuri97",253374
"conf/sigmod/GoyalHKMSZ97",253377
"conf/sigmod/LiCHH97",253384
"conf/sigmod/BressanGFJHKLMPQSS97",253389
"conf/sigmod/AtzeniT97",253393
"conf/sigmod/HammerGNYBV97",253395
"conf/sigmod/GingrasLSPS97",253397
"conf/sigmod/GeneserethKD97",253400
"conf/sigmod/BohrerBBCFHKKMNRRSUUW97a",253401
"conf/sigmod/TomasicABKNR97",253402
"conf/sigmod/FernandezFKLS97",253403
"conf/sigmod/LabioZWGGW97",253405
"conf/sigmod/WangSCRZP97",253406
"conf/sigmod/BerchtoldK97",253407
"conf/sigmod/SeshadriP97",253408
"conf/sigmod/Chakravarthy97",253409
"conf/sigmod/WodtkeWWDM97",253411
"conf/sigmod/IoannidisLANT97",253415
"conf/sigmod/SimmenSM96",233320
"conf/sigmod/OConnellISWABCCLPWW96",233321
"conf/sigmod/OzdenRSS96",233322
"conf/sigmod/Blakeley96",233329
"conf/sigmod/LibkinMW96",233335
"conf/sigmod/Agarwal96",233336
"conf/sigmod/GangulyGMS96",233340
"conf/sigmod/KrishnanVI96",233341
"conf/sigmod/BrownCL96",233351
"conf/sigmod/ChristophidesCM96",233358
"conf/sigmod/SeshadriHPLRSSS96",233360
"conf/sigmod/ColbyGLMT96",233364
"conf/sigmod/HullZ96",233365
"conf/sigmod/ChawatheRGW96",233366
"conf/sigmod/BunemanDHS96",233368
"conf/sigmod/NguyenS96",233371
"conf/sigmod/Keim96",280349
"conf/sigmod/Han96",280351
"conf/sigmod/LeflerSW96",280354
"conf/sigmod/HanFWCZK96",280356
"conf/sigmod/HungYK96",280360
"conf/sigmod/BilirisFOP96",280362
"conf/sigmod/SrikantA96",233311
"conf/sigmod/FukudaMMT96",233313
"conf/sigmod/SelfridgeSW96",233315
"conf/sigmod/VanceM96",233317
"conf/sigmod/GoelI96",233318
"conf/sigmod/ChaudhuriG96",233323
"conf/sigmod/ZhangRL96",233324
"conf/sigmod/ZouS96",233325
"conf/sigmod/AchyutuniON96",233326
"conf/sigmod/AdaliCPS96",233327
"conf/sigmod/FranklinJK96",233328
"conf/sigmod/GrayHOS96",233330
"conf/sigmod/HillyerS96",233332
"conf/sigmod/HarinarayanRU96",233333
"conf/sigmod/RaoBG96",233334
"conf/sigmod/LoR96",233337
"conf/sigmod/PatelD96",233338
"conf/sigmod/PoosalaIHS96",233342
"conf/sigmod/DohertyHR96",233344
"conf/sigmod/LiskovACDGGMMS96",233346
"conf/sigmod/Tajima96",233349
"conf/sigmod/GarofalakisI96",233352
"conf/sigmod/CookKWZ96",233354
"conf/sigmod/McAuliffeCS96",233355
"conf/sigmod/CherniackZ96",233356
"conf/sigmod/HellersteinN96",233359
"conf/sigmod/RossSS96",233361
"conf/sigmod/MorpainCFP96",233362
"conf/sigmod/GoyalHKMS96",233369
"conf/sigmod/FernandezS96",280347
"conf/sigmod/Bernstein96",280348
"conf/sigmod/Mohan96",280350
"conf/sigmod/PiatkoYLS96",280352
"conf/sigmod/BohmA96",280353
"conf/sigmod/QuassWGHLMNRRAUW96",280355
"conf/sigmod/ChooOLCGBPS96",280357
"conf/sigmod/DogacHKOONDMAKE96",280358
"conf/sigmod/FukudaMMT96a",280359
"conf/sigmod/RundensteinerKRCJM96",280361
"conf/sigmod/RothAHCCFSTW96",280363
"conf/sigmod/BerensonBGMOO95",223785
"conf/sigmod/AdyaGLM95",223787
"conf/sigmod/Freeston95",223796
"conf/sigmod/ShatdalN95",223801
"conf/sigmod/FaloutsosL95",223812
"conf/sigmod/ParkCY95",223813
"conf/sigmod/AcharyaAFZ95",223816
"conf/sigmod/GuptaMR95",223817
"conf/sigmod/HouZ95",223840
"conf/sigmod/IoannidisP95",223841
"conf/sigmod/AdelbergGK95",223842
"conf/sigmod/DavisonG95",223845
"conf/sigmod/LuMSS95",223850
"conf/sigmod/BersonGM95",223852
"conf/sigmod/AbiteboulCM95",223854
"conf/sigmod/BrinDG95",223855
"conf/sigmod/Gettys95",223860
"conf/sigmod/Hope95",223861
"conf/sigmod/Ivinskis95",223862
"conf/sigmod/WoelkBJOTU95",223867
"conf/sigmod/Squire95",223869
"conf/sigmod/Olson95",223873
"conf/sigmod/Kleissner95",223875
"conf/sigmod/BaruFGHJPW95",223876
"conf/sigmod/ImielinskiV95",223885
"conf/sigmod/RadekeBBEKKN95",223894
"conf/sigmod/MoleskyR95",223786
"conf/sigmod/BrodskyK95",223788
"conf/sigmod/FegarasM95",223789
"conf/sigmod/GardarinMP95",223791
"conf/sigmod/RoussopoulosKV95",223794
"conf/sigmod/PapadiasTSE95",223798
"conf/sigmod/WilschutFA95",223803
"conf/sigmod/HernandezS95",223807
"conf/sigmod/RamaswamyK95",223809
"conf/sigmod/ArefBV95",223811
"conf/sigmod/WhiteD95",223814
"conf/sigmod/BettiniWBJ95",223843
"conf/sigmod/SistlaW95",223844
"conf/sigmod/DuSD95",223846
"conf/sigmod/BhargavaGI95",223847
"conf/sigmod/ZhugeGHW95",223848
"conf/sigmod/GriffinL95",223849
"conf/sigmod/FreedmanD95",223851
"conf/sigmod/DanS95",223853
"conf/sigmod/ChaudhuriDY95",223856
"conf/sigmod/Team95",223857
"conf/sigmod/Team95c",223858
"conf/sigmod/Moore95",223859
"conf/sigmod/BunemanM95",223863
"conf/sigmod/Gray95",223864
"conf/sigmod/Ellison95",277954
"conf/sigmod/Epstein95",277955
"conf/sigmod/Golding95",223865
"conf/sigmod/Shyy95",223866
"conf/sigmod/Edelstein95",223868
"conf/sigmod/Bampahl95",223870
"conf/sigmod/French95",223871
"conf/sigmod/Perna95",223872
"conf/sigmod/Atkinson95",223874
"conf/sigmod/Gerber95",223877
"conf/sigmod/Levine95",223878
"conf/sigmod/MattosM95",223881
"conf/sigmod/Sheth95",223882
"conf/sigmod/Norrie95",223883
"conf/sigmod/Gibson95",223884
"conf/sigmod/CeriFPP95",223886
"conf/sigmod/ColletC95",223887
"conf/sigmod/AshleyFHLNP95",223888
"conf/sigmod/BuchmannDZH95",223889
"conf/sigmod/MassariPSC95",223890
"conf/sigmod/ShklarSKT95",223891
"conf/sigmod/ThomasDM95",223892
"conf/sigmod/GatziuGD95",223893
"conf/sigmod/KeimK95",223895
"conf/sigmod/HammerGIPUW95",223896
"conf/sigmod/LiC95",223897
"conf/sigmod/Team95a",223898
"conf/sigmod/Team95b",223899
"conf/sigmod/WangZS95",223900
"conf/sigmod/GrossmanHQ95",223901
"conf/sigmod/DreyerDS95",223902
"conf/sigmod/JonkerS95",223903
"conf/sigmod/HuangSW94",191845
"conf/sigmod/ImielinskiVB94",191846
"conf/sigmod/BilirisDGJR94",191848
"conf/sigmod/MohanN94",191849
"conf/sigmod/ZhangNBB94",191850
"conf/sigmod/GibbsBT94",191856
"conf/sigmod/WangCMSSZ94",191863
"conf/sigmod/ChenR94",191874
"conf/sigmod/SwamiS94",191877
"conf/sigmod/NybergBCGL94",191884
"conf/sigmod/VingralekBW94",191889
"conf/sigmod/KrollW94",191891
"conf/sigmod/ChristophidesACS94",191901
"conf/sigmod/CareyFZ94",191911
"conf/sigmod/FaloutsosRM94",191925
"conf/sigmod/DarR94",191928
"conf/sigmod/Dietterich94",191931
"conf/sigmod/Martin94",191936
"conf/sigmod/Vaskevitch94",191942
"conf/sigmod/BilirisP94",191983
"conf/sigmod/BrinkhoffKSS94a",191988
"conf/sigmod/Mohan94",191990
"conf/sigmod/Jagadish94",191991
"conf/sigmod/Ballinger94",191944
"conf/sigmod/BarbaraI94",191844
